match_date,year,tournament,stage,team_a,team_b,gf_avg_a,ga_avg_a,xgf_avg_a,xga_avg_a,points_avg_a,matches_played_a,gf_avg_b,ga_avg_b,xgf_avg_b,xga_avg_b,points_avg_b,matches_played_b,gf_diff,ga_diff,xgf_diff,xga_diff,form_diff,experience_diff,goals_a,goals_b,xg_a,xg_b
2018-06-23,2018,FIFA World Cup,Group stage,Belgium,Tunisia,3.0,0.0,2.0,0.5,3.0,1,1.0,2.0,1.0,2.8,0.0,1,2.0,2.0,1.0,2.3,3.0,0,5,2,5.2,1.1
2018-06-23,2018,FIFA World Cup,Group stage,Korea Republic,Mexico,0.0,1.0,0.3,2.3,0.0,1,1.0,0.0,1.3,1.4,3.0,1,-1.0,-1.0,-1.0,-0.8999999999999999,-3.0,0,1,2,0.9,1.9
2018-06-23,2018,FIFA World Cup,Group stage,Germany,Sweden,0.0,1.0,1.4,1.3,0.0,1,1.0,0.0,2.3,0.3,3.0,1,-1.0,-1.0,-0.8999999999999999,-1.0,-3.0,0,2,1,1.4,0.9
2018-06-24,2018,FIFA World Cup,Group stage,England,Panama,2.0,1.0,2.8,1.0,3.0,1,0.0,3.0,0.5,2.0,0.0,1,2.0,2.0,2.3,1.0,3.0,0,6,1,2.8,1.1
2018-06-24,2018,FIFA World Cup,Group stage,Poland,Colombia,1.0,2.0,0.8,1.0,0.0,1,1.0,2.0,1.0,2.0,0.0,1,0.0,0.0,-0.19999999999999996,1.0,0.0,0,0,3,1.1,2.1
2018-06-24,2018,FIFA World Cup,Group stage,Japan,Senegal,2.0,1.0,2.0,1.0,3.0,1,2.0,1.0,1.0,0.8,3.0,1,0.0,0.0,1.0,-0.19999999999999996,0.0,0,2,2,0.9,1.4
2018-06-25,2018,FIFA World Cup,Group stage,IR Iran,Portugal,0.5,0.5,0.85,1.2999999999999998,1.5,2,2.0,1.5,1.2,1.25,2.0,2,-1.5,1.0,-0.35,-0.04999999999999982,-0.5,0,1,1,1.4,1.3
2018-06-25,2018,FIFA World Cup,Group stage,Spain,Morocco,2.0,1.5,1.75,0.95,2.0,2,0.0,1.0,0.8,1.1,0.0,2,2.0,-0.5,0.95,0.15000000000000013,2.0,0,2,2,2.9,1.2
2018-06-25,2018,FIFA World Cup,Group stage,Uruguay,Russia,1.0,0.0,1.65,0.3,3.0,2,4.0,0.5,1.45,0.7999999999999999,3.0,2,-3.0,0.5,0.19999999999999996,0.49999999999999994,0.0,0,3,0,2.4,0.1
2018-06-25,2018,FIFA World Cup,Group stage,Saudi Arabia,Egypt,0.0,3.0,0.25,1.7,0.0,2,0.5,2.0,0.85,1.4,0.0,2,-0.5,-1.0,-0.6,-0.30000000000000004,0.0,0,2,1,2.6,0.8
2018-06-26,2018,FIFA World Cup,Group stage,Nigeria,Argentina,1.0,1.0,0.8,1.4,1.5,2,0.5,2.0,1.6,1.45,0.5,2,0.5,1.0,-0.8,0.050000000000000044,1.0,0,1,2,1.4,0.9
2018-06-26,2018,FIFA World Cup,Group stage,Iceland,Croatia,0.5,1.5,1.15,1.4,0.5,2,2.5,0.0,1.7,1.0,3.0,2,-2.0,-1.5,-0.55,-0.3999999999999999,-2.5,0,1,2,2.1,0.7
2018-06-26,2018,FIFA World Cup,Group stage,Denmark,France,1.0,0.5,0.9,1.5,2.0,2,1.5,0.5,1.65,0.7,3.0,2,-0.5,0.0,-0.7499999999999999,-0.8,-1.0,0,0,0,0.2,0.4
2018-06-26,2018,FIFA World Cup,Group stage,Australia,Peru,1.0,1.5,1.15,1.05,0.5,2,0.0,1.0,1.05,1.5,0.0,2,1.0,-0.5,0.09999999999999987,0.44999999999999996,0.5,0,0,2,0.9,0.2
2018-06-27,2018,FIFA World Cup,Group stage,Serbia,Brazil,1.0,1.0,1.2,1.5,1.5,2,1.5,0.5,2.4000000000000004,0.5,2.0,2,-0.5,-0.5,-1.2000000000000004,-1.0,-0.5,0,0,2,0.8,1.4
2018-06-27,2018,FIFA World Cup,Group stage,Switzerland,Costa Rica,1.5,1.0,1.5,1.85,2.0,2,0.0,1.5,0.5,1.75,0.0,2,1.5,0.5,1.0,-0.10000000000000009,2.0,0,2,2,1.4,1.5
2018-06-27,2018,FIFA World Cup,Group stage,Mexico,Sweden,1.5,0.5,1.6,1.15,3.0,2,1.0,1.0,1.5999999999999999,0.85,1.5,2,0.5,0.5,2.220446049250313e-16,-0.29999999999999993,1.5,0,0,3,1.4,2.4
2018-06-27,2018,FIFA World Cup,Group stage,Korea Republic,Germany,0.5,1.5,0.6,2.0999999999999996,0.0,2,1.0,1.0,1.4,1.1,1.5,2,-0.5,-0.5,-0.7999999999999999,-0.9999999999999996,-1.5,0,2,0,1.7,2.7
